Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26.0,52.0,38.0,4,3,37,0,0,6
29.0,52.0,45.0,2,8,12,0,36,5
34.0,65.0,62.0,0,1,7,9,30,1
32.0,62.0,34.0,3,9,22,0,20,4
28.0,54.0,46.0,1,6,35,0,0,6
26.0,52.0,35.0,4,0,12,10,13,2
25.0,50.0,64.0,3,1,9,0,10,3
33.0,64.0,50.0,2,10,41,0,0,6
30.0,60.0,42.0,4,4,21,0,18,4
29.0,58.0,33.0,0,5,9,7,30,1
27.0,54.0,28.0,1,7,13,0,40,5
31.0,62.0,48.0,4,3,14,15,12,2
25.0,50.0,65.0,2,1,36,0,0,6
32.0,62.0,41.0,1,6,24,0,22,4
26.0,52.0,31.0,3,2,14,0,41,5
31.0,62.0,49.0,0,8,10,13,14,2
33.0,64.0,34.0,1,7,38,0,0,6
25.0,50.0,39.0,4,0,21,0,19,4
28.0,54.0,65.0,0,1,39,0,0,6
29.0,58.0,52.0,2,10,13,0,36,5
30.0,60.0,44.0,4,4,10,0,9,3
34.0,65.0,53.0,2,8,12,14,12,2
35.0,68.0,33.0,3,9,11,0,37,5
28.0,54.0,37.0,0,4,36,0,0,6
33.0,64.0,39.0,1,6,13,0,10,3
26.0,52.0,44.0,4,3,23,0,20,4
30.0,60.0,63.0,3,1,9,9,29,1
32.0,62.0,30.0,2,8,38,0,0,6
37.0,70.0,32.0,0,5,12,0,39,5
26.0,52.0,36.0,1,7,14,0,13,3
29.0,58.0,40.0,3,2,24,0,23,4
30.0,60.0,27.0,2,8,12,0,40,5
34.0,65.0,38.0,1,6,39,0,0,6
36.0,68.0,38.0,4,0,7,9,30,1
26.0,52.0,48.0,2,10,23,0,19,4
28.0,54.0,35.0,0,4,41,0,0,6
30.0,60.0,61.0,2,1,8,10,31,1
37.0,70.0,37.0,1,6,12,0,41,5
25.0,50.0,26.0,3,2,15,14,11,2
